name,2023-09-19,2023-09-20,2023-09-21,2023-09-22,2023-09-23,2023-09-24,2023-09-25,2023-09-26,2023-09-27,2023-09-28,2023-09-29,2023-09-30,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14,2023-10-15,2023-10-16,2023-10-17,2023-10-18,2023-10-19,2023-10-20,2023-10-21,2023-10-23,2023-10-24,2023-10-25,2023-10-26,2023-10-27,2023-10-28,2023-10-29,2023-10-30,2023-10-31,2023-11-01,2023-11-02,2023-11-03,2023-11-04,2023-11-05,2023-11-06,2023-11-07,2023-11-08,2023-11-09,2023-11-10
池田,135642,135753,136449,136890,137253,137596,137907,138306,138769,139087,139380,139771,140097,140362,140623,140887,141127,141373,141633,141869,142248,142447,142692,142927,143240,143534,143832,144050,144251,144442,144651,144878,145075,145528,145704,145861,146025,146187,146354,146535,146655,146799,146939,147097,147261,147413,147608,147784,147943,148086,148210,148337
小川,265581,265767,267151,268164,268822,269512,270056,270699,271345,271934,272594,273344,274028,274529,275079,275681,276214,276781,277452,278038,278701,279128,279549,280021,280543,281211,281762,282204,282641,283039,283403,283854,284248,284990,285331,285668,285952,286242,286526,286873,287122,287382,287628,287961,288264,288539,288894,289198,289500,289775,290037,290311
一ノ瀬,122723,122803,123349,123630,123835,124064,124275,124481,124801,124975,125178,125409,125650,125842,125980,126202,126309,126463,126682,126836,127153,127311,127533,127658,127930,128142,128409,128503,128650,128784,128905,129069,129183,129500,129623,129778,129866,129993,130122,130274,130382,130453,130588,130654,130787,130872,130982,131106,131225,131318,131435,131517
井上,116924,116975,117429,117709,117944,118201,118394,118676,118980,119210,119369,119634,119803,119955,120170,120330,120487,120747,120932,121181,121497,121671,121775,121982,122184,122430,122645,122787,122917,123064,123218,123365,123549,123862,123977,124131,124225,124349,124491,124627,124720,124826,124917,125030,125159,125301,125460,125598,125719,125825,125974,126072
菅原,117040,117112,117762,118105,118411,118751,119012,119276,119625,119890,120146,120450,120721,120924,121201,121473,121733,121996,122326,122605,122998,123252,123507,123763,124029,124355,124709,124940,125132,125396,125645,125899,126151,126638,126814,126994,127175,127407,127643,127881,128082,128286,128464,128647,128859,129080,129325,129524,129701,129885,130062,130195
川﨑,139115,139286,140374,141235,141840,142478,142946,143491,144097,144518,144902,145407,145890,146225,146587,147008,147335,147669,148086,148501,149058,149399,149773,150130,150589,151062,151492,151823,152098,152374,152668,152977,153313,153948,154204,154491,154721,154956,155276,155534,155781,156048,156285,156493,156808,157057,157333,157654,157908,158132,158350,158563
中西,310082,311022,316255,320800,323648,326714,329188,332066,334713,337387,340031,343296,345952,348155,350618,352878,355268,357606,360273,362787,365271,367116,369122,371279,373526,375891,378100,380099,382202,383902,385560,387490,389416,392845,394470,396258,397860,399625,401573,403040,404256,405653,406928,408355,409813,411223,412628,413924,415199,416455,417636,418873
富里,104544,104616,105323,105765,106061,106471,106739,107100,107456,107788,108067,108404,108665,108888,109152,109481,109760,110061,110291,110545,110906,111079,111345,111598,111879,112191,112483,112701,112923,113154,113397,113675,113906,114330,114524,114714,114873,115049,115229,115407,115577,115762,115938,116043,116261,116438,116606,116785,116947,117140,117321,117500
奥田,71378,71427,71847,72080,72248,72462,72676,72856,73059,73238,73408,73627,73835,74028,74192,74404,74569,74738,74918,75083,75350,75476,75625,75802,76019,76207,76394,76526,76669,76824,76959,77134,77299,77656,77811,78000,78169,78288,78448,78573,78673,78826,79004,79123,79242,79308,79436,79598,79759,79870,79995,80109
五百城,198289,198582,200133,201275,202031,202923,203598,204414,205274,205989,206680,207428,208134,208674,209300,209872,210474,211041,211693,212359,213224,213689,214181,214652,215208,215763,216241,216577,216977,217356,217774,218210,218670,219461,219823,220210,220524,220889,221245,221563,221869,222182,222423,222683,222980,223230,223549,223810,224103,224317,224558,224805
